,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
79,kapaa,22.0752,-159.319,87.78,63,20,13.8,US,1662415723
80,barrow,71.2906,-156.7887,39.22,75,100,6.91,US,1662415724
81,tual,-5.6667,132.75,80.4,80,87,14.79,ID,1662415724
82,chapais,49.7834,-74.8492,66.65,41,6,0.67,CA,1662415724
83,nome,64.5011,-165.4064,50.07,87,100,9.22,US,1662415725
84,jiexiu,37.0244,111.9125,63.37,45,0,4.68,CN,1662415725
85,labuhan,-6.8844,112.2051,76.03,87,74,6.89,ID,1662415726
86,maymyo,22.0333,96.4667,67.21,93,100,2.39,MM,1662415726
87,saint-philippe,-21.3585,55.7679,69.39,78,59,14.36,RE,1662415727
88,idritsa,56.3316,28.8988,40.05,96,9,4.05,RU,1662415727
89,tura,25.5198,90.2201,73.65,94,95,3.36,IN,1662415728
90,tazovskiy,67.4667,78.7,40.32,90,100,16.96,RU,1662415728
91,bethel,41.3712,-73.414,78.67,88,100,8.05,US,1662415728
92,quatre cocos,-20.2078,57.7625,68.09,78,36,16.75,MU,1662415729
93,bamnet narong,15.4992,101.6897,74.75,94,66,5.17,TH,1662415729
94,homer,59.6425,-151.5483,62.04,80,0,10.36,US,1662415730
95,vaini,-21.2,-175.2,80.76,78,75,9.22,TO,1662415730
96,oliveira dos brejinhos,-12.3169,-42.8961,83.66,26,58,8.72,BR,1662415731
97,port lincoln,-34.7333,135.8667,53.11,79,6,12.55,AU,1662415603
98,sitka,57.0531,-135.33,57.09,82,100,6.91,US,1662415731
99,oistins,13.0667,-59.5333,80.69,89,20,6.91,BB,1662415732
100,gambela,8.25,34.5833,69.69,95,100,1.72,ET,1662415732
101,whithorn,18.2604,-78.0378,86.45,76,65,1.7,JM,1662415732
102,jalalpur pirwala,29.5069,71.2192,86.02,46,0,7.65,PK,1662415733
103,quime,-16.9833,-67.2167,48.56,82,75,6.44,BO,1662415733
104,aksu,41.1231,80.2644,71.22,20,14,3.67,CN,1662415734
105,broome,42.2506,-75.833,71.85,97,100,4.61,US,1662415735
106,bluff,-46.6,168.3333,41.81,62,88,11.52,NZ,1662415735
107,kamenka,51.3223,42.7678,47.64,54,86,5.06,RU,1662415736
108,victoria,22.2855,114.1577,86.32,65,74,5.14,HK,1662415667
109,bambous virieux,-20.3428,57.7575,68.22,76,35,16.87,MU,1662415736
110,pangnirtung,66.1451,-65.7125,39.2,93,75,11.5,CA,1662415737
111,bilma,18.6853,12.9164,95.41,17,1,4.29,NE,1662415737
112,lakselv,70.0513,24.9718,48.02,81,100,12.66,NO,1662415737
113,kaitangata,-46.2817,169.8464,38.86,77,81,10.31,NZ,1662415738
114,torbay,47.6666,-52.7314,64.76,86,94,5.99,CA,1662415535
115,souillac,-20.5167,57.5167,69.76,75,44,15.97,MU,1662415739
116,mahebourg,-20.4081,57.7,68.25,75,31,16.82,MU,1662415739
117,ewa beach,21.3156,-158.0072,87.75,50,75,15.01,US,1662415740
118,gizo,-8.103,156.8419,82.15,74,40,6.11,SB,1662415740
119,pontianak,-0.0333,109.3333,73.38,100,100,3.44,ID,1662415741
120,chokurdakh,70.6333,147.9167,42.78,66,100,8.59,RU,1662415741
121,rantauprapat,2.1,99.8333,73.27,91,100,1.88,ID,1662415741
122,finschhafen,-6.6024,147.8681,82.13,72,48,6.58,PG,1662415742
123,beringovskiy,63.05,179.3167,42.62,66,99,14.25,RU,1662415742
124,mount isa,-20.7333,139.5,55.17,71,0,3.44,AU,1662415743
125,sola,-13.8833,167.55,80.38,75,35,12.06,VU,1662415743
126,georgetown,5.4112,100.3354,79.9,96,20,3.44,MY,1662414996
127,norman wells,65.282,-126.8329,43.11,87,100,18.79,CA,1662415744
128,monrovia,6.3005,-10.7969,75.76,91,71,8.61,LR,1662415745
129,jambi,-1.6,103.6167,74.46,97,100,2.3,ID,1662415745
130,provideniya,64.3833,-173.3,48.36,100,100,11.18,RU,1662415746
131,sinnamary,5.3833,-52.95,80.6,82,82,14.79,GF,1662415747
132,mingguang,32.7802,117.9638,70.41,75,25,4.27,CN,1662415747
133,atuona,-9.8,-139.0333,77.02,68,46,22.41,PF,1662415748
134,saldanha,-33.0117,17.9442,54.14,73,81,1.79,ZA,1662415748
135,iqaluit,63.7506,-68.5145,44.73,68,99,8.28,CA,1662415749
136,varkaus,62.3153,27.873,47.3,79,100,4.56,FI,1662415749
137,methoni,36.8197,21.7049,67.86,74,4,3.91,GR,1662415750
138,carnarvon,-24.8667,113.6333,62.4,59,82,12.82,AU,1662415751
139,cidreira,-30.1811,-50.2056,60.04,82,80,16.04,BR,1662415751
140,beruwala,6.4788,79.9828,77.07,89,100,7.61,LK,1662415752
141,poum,-20.2333,164.0167,71.17,69,100,15.48,NC,1662415753
142,toguchin,55.2353,84.3858,55.8,44,100,1.12,RU,1662415753
143,hami,42.8,93.45,73.92,17,0,6.93,CN,1662415754
144,niono,14.2526,-5.993,88.83,47,72,7.09,ML,1662415754
145,brigantine,39.4101,-74.3646,79.2,81,0,12.66,US,1662415755
146,asau,46.4333,26.4,51.28,71,91,2.66,RO,1662415755
147,nanortalik,60.1432,-45.2371,43.39,96,100,7.54,GL,1662415756
148,dikson,73.5069,80.5464,35.71,77,100,22.82,RU,1662415756
149,rockland,41.1668,-74.0496,80.46,92,100,2.86,US,1662415757
150,tasiilaq,65.6145,-37.6368,41.16,96,95,6.33,GL,1662415757
151,bathsheba,13.2167,-59.5167,81.21,89,20,6.91,BB,1662415757
152,lavrentiya,65.5833,-171.0,43.48,98,100,6.85,RU,1662415758
153,zhigansk,66.7697,123.3711,40.96,81,99,15.03,RU,1662415759
154,ancud,-41.8697,-73.8203,49.23,79,100,13.87,CL,1662415759
155,talnakh,69.4865,88.3972,42.21,94,100,3.4,RU,1662415759
156,hobart,-42.8794,147.3294,42.66,91,75,10.36,AU,1662415760
157,chimoio,-19.1164,33.4833,61.36,87,0,2.04,MZ,1662415761
158,moctezuma,29.8,-109.6667,93.43,31,49,2.64,MX,1662415500
159,touros,-5.1989,-35.4608,76.15,83,40,14.56,BR,1662415761
160,toora-khem,52.4675,96.11,45.12,94,93,0.13,RU,1662415762
161,beloha,-25.1667,45.05,68.27,67,0,5.28,MG,1662415762
162,sakakah,29.9697,40.2064,90.72,13,0,5.37,SA,1662415763
163,krasnaya gora,52.9995,31.6023,39.92,88,29,7.18,RU,1662415763
164,pitimbu,-7.4706,-34.8086,72.19,86,29,13.4,BR,1662415764
165,bredasdorp,-34.5322,20.0403,47.16,85,21,8.9,ZA,1662415764
166,teya,60.3778,92.6267,36.91,98,82,5.37,RU,1662415765
167,ilulissat,69.2167,-51.1,41.02,93,100,1.14,GL,1662415765
168,bar harbor,44.3876,-68.2039,62.02,94,100,4.61,US,1662415633
169,yerkoy,39.6381,34.4672,62.46,71,67,7.09,TR,1662415766
170,bandipur,27.9333,84.4167,64.63,91,4,2.93,NP,1662415767
171,east london,-33.0153,27.9116,59.63,55,0,18.37,ZA,1662415569
172,svetlogorsk,52.6333,29.7333,48.43,67,100,5.53,BY,1662415767
173,dunedin,-45.8742,170.5036,40.8,68,96,7.0,NZ,1662415768
174,hilo,19.7297,-155.09,87.28,74,75,3.0,US,1662415768
175,arraial do cabo,-22.9661,-42.0278,67.03,63,70,12.39,BR,1662415769
176,latung,5.5,120.8833,80.04,79,100,3.53,PH,1662415769
177,huilong,31.8111,121.655,69.57,89,75,11.14,CN,1662415769
178,plant city,28.0186,-82.1129,93.97,61,75,6.91,US,1662415757
179,lazaro cardenas,17.9583,-102.2,79.38,87,100,18.52,MX,1662415770
180,lompoc,34.6391,-120.4579,90.59,52,0,10.36,US,1662415770
181,cabo san lucas,22.8909,-109.9124,92.17,66,20,4.61,MX,1662415626
182,klaksvik,62.2266,-6.589,56.32,99,100,17.85,FO,1662415771
183,altus,34.6381,-99.334,94.86,24,0,5.75,US,1662415772
184,balsta,59.5671,17.5278,46.08,77,14,6.04,SE,1662415772
185,novoagansk,61.9449,76.6625,43.03,92,100,10.74,RU,1662415772
186,charagua,-19.8,-63.2167,70.11,21,47,6.13,BO,1662415773
187,khasan,42.4308,130.6434,62.78,96,100,7.94,RU,1662415773
188,eyl,7.9803,49.8164,75.92,77,1,25.66,SO,1662415774
189,yueyang,29.3333,113.0919,70.68,63,5,3.4,CN,1662415774
190,los llanos de aridane,28.6585,-17.9182,69.55,94,75,12.66,ES,1662415775
191,bilibino,68.0546,166.4372,35.78,82,100,4.74,RU,1662415775
192,oranjemund,-28.55,16.4333,53.78,67,0,20.27,NA,1662415776
193,gat,31.61,34.7642,77.68,78,0,2.37,IL,1662415776
194,busayra,30.7376,35.6078,69.44,57,0,2.19,JO,1662415776
195,port hedland,-20.3167,118.5667,59.05,88,0,8.05,AU,1662415777
196,muravlenko,63.7898,74.523,39.81,90,100,15.55,RU,1662415777
197,new norfolk,-42.7826,147.0587,42.3,89,100,1.5,AU,1662415778
198,kahramanmaras,38.0,37.0,62.22,62,0,6.33,TR,1662415778
199,deputatskiy,69.3,139.9,41.4,59,69,2.73,RU,1662415779
200,vila franca do campo,37.7167,-25.4333,70.21,81,84,3.42,PT,1662415779
201,makakilo city,21.3469,-158.0858,86.32,50,75,14.97,US,1662415780
202,santa maria,-29.6842,-53.8069,58.24,81,98,5.21,BR,1662415780
203,walvis bay,-22.9575,14.5053,54.5,81,0,10.04,NA,1662415781
204,hithadhoo,-0.6,73.0833,81.5,74,100,18.21,MV,1662415781
205,clyde river,70.4692,-68.5914,35.74,99,100,0.43,CA,1662415782
206,saint-pierre,-21.3393,55.4781,69.48,80,0,12.66,RE,1662415782
207,laguna,38.421,-121.4238,114.89,13,0,14.97,US,1662415782
208,poronaysk,49.2167,143.1167,59.04,98,100,11.83,RU,1662415783
209,hovd,48.0056,91.6419,58.69,33,6,1.45,MN,1662415783
210,la asuncion,11.0333,-63.8628,82.8,76,39,9.73,VE,1662415784
211,yumen,40.2833,97.2,63.72,19,0,6.62,CN,1662415784
212,swan hill,-35.3378,143.5544,46.81,81,100,5.57,AU,1662415734
213,vila velha,-20.3297,-40.2925,69.75,78,75,6.91,BR,1662415785
214,edirne,41.6772,26.556,62.64,69,0,5.48,TR,1662415496
215,esmeraldas,-19.7625,-44.3139,68.86,58,100,12.77,BR,1662415786
216,port keats,-14.25,129.55,72.95,79,100,2.71,AU,1662415786
217,ranfurly,-45.1333,170.1,37.11,63,61,7.52,NZ,1662415787
218,meulaboh,4.1363,96.1285,75.4,85,91,3.11,ID,1662415636
219,aykhal,66.0,111.5,37.8,99,100,5.64,RU,1662415787
220,macapa,0.0389,-51.0664,85.98,70,20,10.36,BR,1662415788
221,sergeyevka,53.88,67.4158,53.28,70,100,13.58,KZ,1662415788
222,jabinyanah,35.035,10.9081,81.77,76,53,10.42,TN,1662415788
223,san quintin,30.4833,-115.95,79.66,73,8,13.02,MX,1662415789
224,itaituba,-4.2761,-55.9836,90.93,31,82,3.76,BR,1662415583
225,batticaloa,7.7102,81.6924,76.91,86,100,3.24,LK,1662415790
226,solnechnyy,50.7214,136.6319,55.22,96,100,3.98,RU,1662415790
227,pisco,-13.7,-76.2167,62.65,77,0,8.05,PE,1662415791
228,tautira,-17.7333,-149.15,77.02,79,25,15.37,PF,1662415791
229,udachnyy,66.4167,112.4,37.45,100,100,8.81,RU,1662415791
230,port augusta,-32.5,137.7667,49.95,58,0,4.41,AU,1662415792
231,tessalit,20.1986,1.0114,96.64,11,26,13.6,ML,1662415792
232,sayat,38.7839,63.8803,78.76,14,0,7.81,TM,1662415793
233,luanda,-8.8368,13.2343,70.11,90,20,10.45,AO,1662415793
234,atar,20.5169,-13.0499,98.37,26,31,7.58,MR,1662415794
235,vestmannaeyjar,63.4427,-20.2734,53.92,77,100,5.46,IS,1662415794
236,lagoa,39.05,-27.9833,72.46,70,100,5.21,PT,1662415795
237,saint-agapit,46.5629,-71.4352,65.21,71,97,8.93,CA,1662415795
238,xining,36.6167,101.7667,46.53,66,0,2.53,CN,1662415796
239,nikolskoye,59.7035,30.7861,45.88,77,49,3.31,RU,1662415796
240,novosheshminsk,55.0651,51.2338,46.45,70,95,5.19,RU,1662415796
241,coquimbo,-29.9533,-71.3436,53.33,93,100,11.5,CL,1662415778
242,dingle,10.9995,122.6711,75.51,96,100,5.3,PH,1662415797
243,puerto narino,-3.7703,-70.3831,82.96,67,94,3.62,CO,1662415797
244,mehamn,71.0357,27.8492,46.31,93,75,12.66,NO,1662415798
245,sibu,2.3,111.8167,72.39,97,100,0.76,MY,1662415798
246,muisne,0.6,-80.0333,75.13,82,93,9.4,EC,1662415799
247,comodoro rivadavia,-45.8667,-67.5,71.46,12,0,14.97,AR,1662415652
248,tiarei,-17.5333,-149.3333,84.22,78,16,17.45,PF,1662415800
249,klyuchi,52.2667,79.1667,61.75,27,99,9.31,RU,1662415800
250,vestmanna,62.1564,-7.1664,54.52,94,100,18.41,FO,1662415800
251,launceston,-41.45,147.1667,44.15,93,5,10.36,AU,1662415801
252,egvekinot,66.3167,-179.1667,31.48,97,100,13.29,RU,1662415803
253,yibin,28.7667,104.6238,72.41,70,94,1.41,CN,1662415805
254,inhambane,-23.865,35.3833,68.68,85,0,10.98,MZ,1662415807
255,vardo,70.3705,31.1107,44.58,93,75,18.41,NO,1662415807
256,kyaukse,21.6,96.1333,80.64,76,100,4.56,MM,1662415808
257,lovozero,68.005,35.0117,42.46,96,100,16.46,RU,1662415809
258,north bend,43.4065,-124.2243,84.24,68,0,26.46,US,1662415809
259,veraval,20.9,70.3667,81.1,77,97,9.53,IN,1662415810
260,hemsedal,60.8629,8.5534,46.33,83,59,1.28,NO,1662415810
261,salinopolis,-0.6136,-47.3561,80.24,83,43,14.72,BR,1662415672
262,constitucion,-35.3333,-72.4167,57.65,75,19,8.5,CL,1662415811
263,muros,42.7762,-9.0603,68.09,79,35,13.51,ES,1662415812
264,tadine,-21.55,167.8833,69.57,67,100,13.91,NC,1662415813
265,port moresby,-9.4431,147.1797,77.94,82,28,4.85,PG,1662415813
266,san cristobal,7.7669,-72.225,80.78,71,41,6.02,VE,1662415814
267,yellowknife,62.456,-114.3525,59.52,67,75,12.66,CA,1662415546
268,trincomalee,8.5711,81.2335,79.03,82,100,21.43,LK,1662415814
269,atambua,-9.1061,124.8925,70.07,77,68,4.09,ID,1662415815
270,shimoda,34.6667,138.95,76.1,78,22,5.19,JP,1662415815
271,bandarbeyla,9.4942,50.8122,76.39,80,64,26.96,SO,1662415816
272,inuvik,68.3499,-133.7218,39.85,73,100,22.44,CA,1662415816
273,anadyr,64.75,177.4833,36.1,93,100,15.66,RU,1662415817
274,sao joao da barra,-21.6403,-41.0511,69.89,66,94,9.08,BR,1662415817
275,fez,34.0372,-4.9998,73.65,49,40,6.91,MA,1662415818
276,college,64.8569,-147.8028,60.75,67,75,3.44,US,1662415818
277,yulara,-25.2406,130.9889,61.84,35,97,8.25,AU,1662415819
278,timizart,36.8,4.2667,76.12,63,79,0.87,DZ,1662415819
279,rock sound,24.9,-76.2,83.95,71,4,6.76,BS,1662415820
280,guerrero negro,27.9769,-114.0611,82.24,70,12,16.08,MX,1662415820
281,saint george,37.1041,-113.5841,109.44,12,0,8.05,US,1662415720
282,port-gentil,-0.7193,8.7815,76.96,83,40,6.91,GA,1662415821
283,nador,35.174,-2.9287,77.25,57,0,1.14,MA,1662415822
284,marienburg,54.0359,19.0266,51.89,72,10,6.6,PL,1662415822
285,santa fe,-31.6333,-60.7,59.92,54,0,4.32,AR,1662415640
286,imeni poliny osipenko,52.4201,136.4853,52.32,95,100,12.48,RU,1662415823
287,praia da vitoria,38.7333,-27.0667,73.76,81,100,2.8,PT,1662415823
288,kavieng,-2.5744,150.7967,81.99,70,78,8.32,PG,1662415824
289,airai,-8.9266,125.4092,56.08,68,84,2.21,TL,1662415824
290,yaring,6.8662,101.3689,78.21,86,97,4.92,TH,1662415825
291,tabou,4.423,-7.3528,75.52,90,90,9.46,CI,1662415825
292,dubai,25.2582,55.3047,91.33,52,0,5.75,AE,1662415733
293,matamoros,25.5333,-103.25,75.31,72,100,11.5,MX,1662415800
294,bereda,43.2686,-7.5406,63.41,84,29,7.78,ES,1662415827
295,geraldton,-28.7667,114.6,57.61,77,40,12.66,AU,1662415827
296,mbandaka,0.0487,18.2603,72.28,83,26,2.82,CD,1662415828
297,rottingdean,50.8098,-0.0594,67.17,87,60,1.99,GB,1662415828
298,bengkulu,-3.8004,102.2655,76.03,86,100,3.33,ID,1662415732
299,atikokan,48.7555,-91.6216,77.63,31,2,8.55,CA,1662415829
300,zhigalovo,54.8097,105.1578,46.18,98,100,4.07,RU,1662415829
301,olafsvik,64.8945,-23.7142,50.56,70,100,5.35,IS,1662415830
302,kasongo-lunda,-6.4667,16.8167,79.81,60,75,1.81,CD,1662415830
303,limbang,4.75,115.0,73.51,96,100,1.88,MY,1662415760
304,carora,10.1755,-70.0827,87.85,45,92,6.6,VE,1662415831
305,yefremov,53.1481,38.0992,42.49,94,45,9.19,RU,1662415832
306,bud,39.447,-86.1758,80.62,80,71,7.76,US,1662415832
307,abu dhabi,24.4667,54.3667,89.71,62,0,3.44,AE,1662415769
308,richards bay,-28.783,32.0377,66.67,71,59,11.45,ZA,1662415833
309,leningradskiy,69.3833,178.4167,32.83,99,100,6.93,RU,1662415833
310,bosaso,11.2842,49.1816,89.73,48,48,9.57,SO,1662415834
311,dali,25.7,100.1833,57.11,93,100,3.42,CN,1662415657
312,puerto suarez,-18.95,-57.8,77.2,33,3,4.74,BO,1662415705
313,tonj,7.2737,28.6822,70.75,96,44,3.51,SS,1662415835
314,uyuni,-20.4597,-66.825,45.48,16,0,21.16,BO,1662415835
315,vilcun,-38.65,-72.2333,59.74,81,100,1.7,CL,1662415836
316,ucluelet,48.9329,-125.5528,60.1,89,29,1.01,CA,1662415623
317,perivolion,39.4206,20.0147,75.65,64,0,7.99,GR,1662415836
318,verkhnevilyuysk,63.4453,120.3167,42.24,96,85,4.18,RU,1662415837
319,muroto,33.2833,134.15,82.99,85,100,29.19,JP,1662415837
320,kropotkin,45.4375,40.5756,55.06,46,27,6.4,RU,1662415838
321,dalkola,25.85,87.85,79.95,86,98,1.41,IN,1662415838
322,norilsk,69.3535,88.2027,42.42,95,100,2.59,RU,1662415838
323,taft,31.7471,54.2088,72.59,15,0,5.01,IR,1662415839
324,labrea,-7.2586,-64.7981,88.75,27,13,1.34,BR,1662415839
325,fairbanks,64.8378,-147.7164,60.76,67,0,3.44,US,1662415714
326,mandalgovi,45.7625,106.2708,49.01,54,0,10.54,MN,1662415840
327,andenes,69.3143,16.1194,48.18,87,100,16.11,NO,1662415841
328,rocha,-34.4833,-54.3333,51.3,74,0,6.58,UY,1662415708
329,angoche,-16.2325,39.9086,71.02,83,0,6.64,MZ,1662415841
330,olkhovka,53.2115,60.6069,47.8,77,94,15.05,RU,1662415842
331,at-bashi,41.1702,75.8106,54.3,50,0,5.32,KG,1662415842
332,portland,45.5234,-122.6762,83.35,42,20,13.8,US,1662415507
333,mount gambier,-37.8333,140.7667,42.98,85,100,5.32,AU,1662415843
334,necochea,-38.5473,-58.7368,60.73,47,0,10.58,AR,1662415843
335,kavaratti,10.5669,72.642,78.06,89,100,24.34,IN,1662415844
336,crestview,30.7621,-86.5705,89.71,64,20,6.91,US,1662415844
337,ola,59.5833,151.2833,50.56,71,0,0.92,RU,1662415845
338,tarragona,41.129,1.249,79.39,90,20,3.44,ES,1662415813
339,conselheiro lafaiete,-20.6603,-43.7861,60.44,74,31,8.19,BR,1662415756
340,koutiala,12.3917,-5.4642,78.42,81,84,8.14,ML,1662415845
341,tazmalt,36.3868,4.3989,85.68,48,92,1.14,DZ,1662415846
342,punta alta,-38.8759,-62.0736,66.54,30,0,12.86,AR,1662415846
343,megion,61.0296,76.1136,44.02,96,89,9.86,RU,1662415847
344,leshukonskoye,64.8989,45.7622,44.42,93,100,5.66,RU,1662415847
345,the valley,18.217,-63.0578,84.81,79,20,9.22,AI,1662415773
346,ibia,-19.4783,-46.5389,74.91,39,99,7.67,BR,1662415848
347,beihai,21.4833,109.1,80.42,60,97,7.36,CN,1662415848
348,sambava,-14.2667,50.1667,70.79,82,65,10.18,MG,1662415848
349,abeche,13.8292,20.8324,74.93,80,93,10.4,TD,1662415849
350,morgan city,29.6994,-91.2068,85.01,65,100,4.32,US,1662415849
351,bose,45.4612,8.0137,71.19,73,10,4.65,IT,1662415850
352,longyearbyen,78.2186,15.6401,39.04,93,75,4.61,SJ,1662415850
353,panzhihua,26.5851,101.7128,63.73,83,100,0.92,CN,1662415851
354,westport,41.1415,-73.3579,80.1,82,75,6.91,US,1662415848
355,arman,59.7,150.1667,50.79,67,0,0.38,RU,1662415851
356,chuy,-33.6971,-53.4616,51.69,76,0,5.79,UY,1662415852
357,nalut,30.3333,10.85,90.75,21,1,9.95,LY,1662415852
358,birjand,32.8663,59.2211,66.56,19,0,8.68,IR,1662415853
359,salina cruz,16.1667,-95.2,83.55,69,100,7.67,MX,1662415642
360,renala khurd,30.8833,73.6,79.72,68,3,5.97,PK,1662415853
361,sovetskiy,61.3614,63.5842,44.13,75,100,3.62,RU,1662415854
362,provost,52.3501,-110.2683,72.97,29,70,15.17,CA,1662415854
363,upington,-28.4478,21.2561,48.58,53,0,4.61,ZA,1662415854
364,sao filipe,14.8961,-24.4956,80.04,81,100,1.95,CV,1662415855
365,west wendover,40.7391,-114.0733,97.81,11,0,10.36,US,1662415855
366,kamiiso,41.8167,140.65,72.1,92,87,11.86,JP,1662415856
367,canavieiras,-15.675,-38.9472,70.18,79,65,5.95,BR,1662415856
368,gwadar,25.1216,62.3254,79.81,82,40,7.29,PK,1662415857
369,hyeres,43.1167,6.1167,76.68,65,0,7.85,FR,1662415857
